"MC_line_count","MC_cyclomatic","MC_essential","MC_design","line_code","line_comment","line_blank","line_code_and_comment","unique_operators","unique_operands","total_operators","total_operands","flow_graph","TARGET","source.1","source.2","source.3","source.4","source.5"
1.1,1.4,1.4,1.4,2,2,2,2,1.2,1.2,1.2,1.2,1.4,"0",1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,"1",1,0,0,0,0
72,7,1,6,51,10,8,1,17,36,112,86,13,"1",1,0,0,0,0
190,3,1,3,129,29,28,2,17,135,329,271,5,"1",1,0,0,0,0
37,4,1,4,28,1,6,0,11,16,76,50,7,"1",1,0,0,0,0
31,2,1,2,19,0,5,0,14,24,69,42,3,"1",1,0,0,0,0
78,9,5,4,0,0,0,0,0,0,0,0,17,"1",1,0,0,0,0
8,1,1,1,5,0,1,0,4,5,9,7,1,"1",1,0,0,0,0
24,2,1,2,0,0,0,0,0,0,0,0,3,"1",1,0,0,0,0
143,22,20,10,0,0,0,0,0,0,0,0,43,"1",1,0,0,0,0
73,10,4,6,0,0,0,0,0,0,0,0,19,"1",1,0,0,0,0
83,11,10,7,0,0,0,0,0,0,0,0,21,"1",1,0,0,0,0
12,3,1,1,8,0,2,0,11,12,22,15,5,"1",1,0,0,0,0
48,4,1,4,29,1,16,0,19,23,87,42,7,"1",1,0,0,0,0
68,8,1,5,0,0,0,0,0,0,0,0,15,"1",1,0,0,0,0
138,22,10,8,0,0,0,0,0,0,0,0,43,"1",1,0,0,0,0
10,1,1,1,2,0,6,0,4,4,5,4,1,"1",1,0,0,0,0
250,49,34,16,139,92,17,0,32,64,1081,388,97,"1",1,0,0,0,0
77,8,1,1,59,0,16,0,7,10,167,117,15,"1",1,0,0,0,0
85,9,1,7,69,0,14,0,26,47,161,118,13,"1",1,0,0,0,0
110,17,13,8,81,13,14,0,27,59,176,146,33,"1",1,0,0,0,0
49,6,6,3,34,0,13,0,19,24,107,64,11,"1",1,0,0,0,0
187,35,26,16,164,1,16,0,21,56,299,227,69,"1",1,0,0,0,0
27,6,6,3,0,0,0,0,0,0,0,0,11,"1",1,0,0,0,0
38,8,1,3,29,0,7,0,9,16,72,73,15,"1",1,0,0,0,0
294,43,33,24,223,41,26,2,28,113,484,330,85,"1",1,0,0,0,0
29,3,1,3,21,0,6,0,14,25,45,43,5,"1",1,0,0,0,0
160,5,4,3,123,11,23,1,22,103,388,310,9,"1",1,0,0,0,0
94,16,9,5,66,19,6,1,22,29,127,91,31,"1",1,0,0,0,0
48,3,1,3,34,1,9,0,16,44,85,72,5,"1",1,0,0,0,0
14,2,1,2,8,1,3,0,8,10,18,13,3,"1",1,0,0,0,0
32,6,4,4,26,0,4,0,14,21,66,50,11,"1",1,0,0,0,0
11,1,1,1,2,0,6,0,4,4,5,4,1,"1",1,0,0,0,0
20,3,1,1,13,4,0,0,9,5,21,10,5,"1",1,0,0,0,0
39,1,1,1,0,0,0,0,0,0,0,0,1,"1",1,0,0,0,0
63,21,21,8,0,0,0,0,0,0,0,0,41,"1",1,0,0,0,0
78,6,1,5,45,6,19,6,20,28,113,79,11,"1",1,0,0,0,0
209,26,17,19,0,0,0,0,0,0,0,0,47,"1",1,0,0,0,0
6,2,1,1,4,0,0,0,10,5,15,6,3,"1",1,0,0,0,0
44,13,13,7,0,0,0,0,0,0,0,0,25,"1",1,0,0,0,0
24,3,1,1,18,0,4,0,13,7,34,18,5,"1",1,0,0,0,0
23,2,1,2,19,0,2,0,9,15,31,20,3,"1",1,0,0,0,0
69,6,3,4,0,0,0,0,0,0,0,0,11,"1",1,0,0,0,0
148,19,10,11,118,7,16,1,19,57,308,208,37,"1",1,0,0,0,0
83,20,15,7,62,7,12,0,25,29,149,77,39,"1",1,0,0,0,0
53,4,1,4,36,7,8,0,13,21,58,48,7,"1",1,0,0,0,0
97,15,12,4,0,0,0,0,0,0,0,0,29,"1",1,0,0,0,0
25,2,1,2,20,3,0,0,9,23,38,33,3,"1",1,0,0,0,0
466,110,95,85,0,0,0,0,0,0,0,0,219,"1",1,0,0,0,0
110,27,14,9,0,0,0,0,0,0,0,0,53,"1",1,0,0,0,0
113,19,18,11,92,9,12,0,26,63,271,220,37,"1",1,0,0,0,0
119,9,7,7,79,21,15,2,21,53,174,126,17,"1",1,0,0,0,0
15,3,1,2,10,0,2,1,12,12,29,18,5,"1",1,0,0,0,0
44,10,8,10,0,0,0,0,0,0,0,0,19,"1",1,0,0,0,0
124,55,55,55,0,0,0,0,0,0,0,0,109,"1",1,0,0,0,0
8,1,1,1,4,0,2,0,5,6,8,7,1,"1",1,0,0,0,0
8,1,1,1,4,0,2,0,5,6,8,7,1,"1",1,0,0,0,0
162,27,23,26,0,0,0,0,0,0,0,0,53,"1",1,0,0,0,0
