"","x"
"1","_baseline_"
"2","MC_design"
"3","data$line_code_and_comment+data$flow_graph"
"4","MC_line_count"
"5","_baseline_"
"6","sqrt(data$unique_operands)+(data$line_blank)"
"7","sqrt(data$total_operators)-(data$line_blank)"
"8","sqrt(data$unique_operands)-sqrt(data$total_operands)"
"9","sqrt(data$line_code)+(data$unique_operands)"
"10","sqrt(data$unique_operands)-sqrt(data$flow_graph)"
"11","_baseline_"
"12","MC_line_count"
"13","(data$line_code+data$unique_operands)*(data$line_blank+data$line_code_and_comment)"
"14","(data$line_code+data$unique_operators)*(data$line_code_and_comment+data$total_operands)"
"15","_baseline_"
"16","MC_line_count"
"17","(data$line_code_and_comment+data$line_blank)*(data$line_code+data$unique_operands)"
"18","(data$line_blank+data$flow_graph)*(data$total_operands+data$unique_operators)"
"19","(data$line_code_and_comment+data$total_operands)*(data$line_code+data$unique_operators)"
"20","(data$unique_operators+data$total_operands)*(data$line_comment+data$flow_graph)"
"21","source.2"
"22","(data$line_code_and_comment+data$line_blank)*(data$unique_operators+data$unique_operands)"
"23","(data$total_operators+data$line_comment)*(data$total_operands+data$flow_graph)"
"24","_baseline_"
"25","(data$unique_operands+data$flow_graph)*(data$unique_operators+data$line_code_and_comment)"
"26","(data$total_operators+data$line_code)*(data$line_blank+data$line_code_and_comment)"
"27","(data$total_operators+data$unique_operators)*(data$line_comment+data$flow_graph)"
"28","(data$total_operators+data$flow_graph)*(data$line_code+data$unique_operators)"
"29","MC_line_count"
"30","MC_line_count"
"31","_baseline_"
"32","(data$line_code+data$unique_operands)/(data$unique_operators+data$flow_graph)"
"33","(data$line_blank+data$line_code_and_comment)/(data$unique_operators+data$flow_graph)"
"34","(data$line_code+data$unique_operands)/(data$total_operators+data$flow_graph)"
"35","(data$line_comment+data$total_operands)/(data$unique_operators+data$flow_graph)"
"36","_baseline_"
"37","MC_line_count"
"38","MC_line_count"
"39","_baseline_"
"40","flow_graph"
"41","(data$total_operators+data$line_comment)/(data$unique_operands+data$flow_graph)"
"42","(data$total_operands+data$line_code)/(data$line_comment+data$flow_graph)"
"43","MC_design"
"44","(data$total_operators+data$line_code)/(data$total_operands+data$flow_graph)"
"45","line_comment"
"46","MC_line_count"
"47","_baseline_"
"48","total_operands"
"49","unique_operators"
"50","MC_cyclomatic"
"51","MC_line_count"
"52","(data$line_code+data$line_comment)*(data$unique_operands-data$total_operators)"
"53","(data$line_comment+data$flow_graph)*(data$line_blank-data$unique_operands)"
"54","(data$line_blank+data$line_code_and_comment)*(data$line_comment-data$unique_operators)"
"55","(data$line_blank+data$flow_graph)*(data$line_code-data$line_comment)"
"56","(data$line_comment+data$total_operators)*(data$total_operands-data$flow_graph)"
"57","(data$line_code+data$unique_operands)*(data$total_operands-data$line_code_and_comment)"
"58","(data$line_comment+data$flow_graph)*(data$unique_operators-data$unique_operands)"
"59","_full_model_"
"60","MC_cyclomatic"
"61","MC_line_count"
"62","(data$line_code_and_comment+data$line_code)*(data$unique_operators-data$unique_operands)"
"63","(data$unique_operators+data$unique_operands)*(data$line_blank-data$line_code_and_comment)"
"64","(data$unique_operands+data$line_blank)*(data$total_operators-data$total_operands)"
"65","(data$unique_operands+data$line_blank)*(data$line_code-data$line_comment)"
"66","(data$unique_operators+data$line_blank)*(data$line_code-data$line_code_and_comment)"
"67","(data$unique_operators+data$total_operators)*(data$line_code-data$line_code_and_comment)"
"68","(data$line_code_and_comment+data$unique_operators)*(data$line_comment-data$total_operators)"
"69","(data$line_code_and_comment+data$total_operands)*(data$unique_operators-data$total_operators)"
"70","(data$line_code_and_comment+data$line_comment)*(data$line_blank-data$flow_graph)"
"71","_baseline_"
"72","(data$flow_graph+data$unique_operators)*(data$line_code_and_comment-data$unique_operands)"
"73","source.2"
"74","(data$total_operators+data$line_blank)*(data$line_comment-data$unique_operators)"
"75","(data$unique_operands+data$flow_graph)*(data$unique_operators-data$line_code_and_comment)"
"76","(data$total_operators+data$line_code)*(data$line_comment-data$line_blank)"
"77","(data$flow_graph+data$line_code_and_comment)*(data$line_comment-data$unique_operators)"
"78","MC_line_count"
"79","(data$flow_graph+data$total_operands)*(data$unique_operators-data$line_code)"
"80","(data$flow_graph+data$total_operands)*(data$unique_operands-data$line_code)"
"81","flow_graph"
"82","(data$flow_graph+data$total_operands)*(data$line_blank-data$total_operators)"
"83","line_code"
"84","total_operands"
